kw,count,%_Human_Min,%_Human_Mean,%_Human_Max,%_AI_Min,%_AI_Mean,%_AI_max
/lh meaning,15,0.0,63.6,99.9,0.0,15.3,56.5
2 pole breaker,8,0.0,57.5,100.0,0.0,15.3,74.8
205/75r14 trailer tire,7,0.0,42.2,97.5,0.0,21.4,78.5
21 lessons for the 21st century,11,0.0,77.6,100.0,0.0,7.1,42.8
3 subject notebook,8,0.0,39.5,100.0,0.0,10.5,70.6
3d scanner,17,0.0,83.7,100.0,0.0,10.8,48.7
4k projector,16,0.0,81.2,99.9,0.0,12.9,35.4
707 street,6,0.0,33.4,99.9,0.0,21.2,99.3
8th anniversary,17,3.1,84.4,100.0,0.0,15.6,96.9
8th year anniversary gift,19,22.3,89.5,100.0,0.0,10.5,77.7
9 year anniversary gift traditional and modern,16,0.0,82.8,100.0,0.0,11.3,71.4
a breath of snow and ashes,15,0.0,58.9,99.9,0.0,24.5,97.7
ab lounge,9,0.0,64.0,100.0,0.0,5.2,27.0
acid reflux treatment at home,18,49.9,92.1,100.0,0.0,7.9,50.1
aconite,16,0.0,81.5,100.0,0.0,7.4,50.7
activewear sets,11,0.0,68.6,100.0,0.0,16.0,97.9
adapalene and benzoyl peroxide gel,13,0.0,55.8,99.2,0.0,25.4,97.4
adhd and bipolar,19,50.5,85.3,99.9,0.1,14.7,49.5
adjustable facemask,17,0.0,64.4,99.2,0.0,20.6,94.5
advair inhaler,16,0.0,61.3,99.0,0.0,27.6,85.8
affordable wardrobe,10,0.0,68.3,100.0,0.0,15.1,94.0
affresh washing machine cleaner,4,0.0,62.2,99.8,0.0,4.4,14.1
afrobulk,9,0.0,33.4,98.2,0.0,30.9,99.9
agave plants,19,0.0,89.1,100.0,0.0,5.9,73.7
air duct cleaning,19,3.4,86.3,100.0,0.0,13.7,96.6
airsoft glock 18,18,0.0,71.9,99.7,0.0,22.8,99.4
aklief cream,14,0.0,62.6,97.8,0.0,30.8,97.4
aldactone,16,0.0,73.4,98.0,0.0,20.7,55.0
alkaline diet foods,17,60.0,90.5,100.0,0.0,9.5,40.0
all the queen's men,9,0.0,67.8,99.4,0.0,14.0,51.8
almond flour nutrition,11,0.0,69.1,99.7,0.0,15.5,99.9
almond milk nutrition facts,12,0.0,73.7,99.9,0.0,12.0,99.9
anillos de matrimonio,10,0.0,50.0,100.0,0.0,8.9,55.8
anime merch,9,0.0,30.9,99.2,0.0,25.4,99.9
ankle swelling causes,19,0.0,81.4,100.0,0.0,13.6,63.4
antherium,10,0.0,70.8,99.1,0.0,12.5,69.0
anthurium flower,18,0.0,92.6,99.9,0.0,2.1,11.0
are bananas good for dogs,20,17.2,89.6,100.0,0.0,10.4,82.8
are jalapenos good for you,20,16.9,85.7,100.0,0.0,14.3,83.1
are sesame seeds good for you,20,15.9,87.8,100.0,0.0,12.2,84.1
arnica cream,16,0.0,79.4,99.8,0.0,9.5,73.5
arnica montana,17,0.0,81.0,100.0,0.0,13.5,70.8
arthritis in feet,18,0.0,85.4,100.0,0.0,9.3,94.8
arthritis in neck,19,53.2,94.0,100.0,0.0,6.0,46.8
asystole meaning,15,0.0,73.2,100.0,0.0,10.1,56.5
auto upholstery,9,0.0,74.4,100.0,0.0,15.6,82.7
autumn joy sedum,17,0.0,77.1,100.0,0.0,12.4,48.9
avacado,5,0.0,30.8,99.7,0.0,10.8,64.1
average cost to finish a basement,18,80.6,95.0,100.0,0.0,5.0,19.4
avocado tree indoor,16,53.1,93.3,100.0,0.0,6.7,46.9
b12 vitamin benefits,18,0.0,79.5,99.9,0.0,15.2,78.8
baby blanket,9,0.0,59.5,100.0,0.0,9.8,46.8
baby chickens,18,0.0,76.6,100.0,0.0,13.4,85.8
baby nail clippers,13,0.0,62.6,100.0,0.0,9.6,58.2
baby's growth chart,19,48.4,87.4,100.0,0.0,12.6,51.6
babygirl nursery,15,0.0,78.7,99.9,0.0,15.1,70.1
backyard decor ideas,16,73.9,97.2,100.0,0.0,2.8,26.1
backyard fireplace,12,0.0,75.8,100.0,0.0,10.0,49.9
backyard umbrella,10,0.0,66.9,99.9,0.0,16.4,69.0
baclofen 20 mg,17,0.0,72.1,99.7,0.0,22.3,76.1
bad acne,17,62.0,90.9,99.7,0.3,9.1,38.0
bad cramps no period,20,64.8,91.3,100.0,0.0,8.7,35.2
bad news bears,12,0.0,75.5,100.0,0.0,10.2,49.4
baking soda and vinegar drain cleaner,18,0.4,85.3,100.0,0.0,14.7,99.6
bamba peanut butter puffs,6,0.0,64.4,99.8,0.0,10.6,41.5
banana trees,17,0.0,64.8,99.9,0.0,20.2,96.9
basement finishing,17,48.6,90.0,100.0,0.0,10.0,51.4
basil herb,17,0.0,89.2,100.0,0.0,5.2,73.1
basketball shorts,4,0.0,30.7,86.8,0.0,19.3,77.1
bath and body works halloween,11,0.0,72.6,100.0,0.0,12.0,63.5
bath mat,9,0.0,68.0,100.0,0.0,7.0,37.8
bathroom counter storage,10,0.0,58.7,100.0,0.0,7.9,62.3
bathroom sink drain stopper,9,0.0,36.8,99.8,0.0,27.5,95.9
battery jump starter,11,0.0,60.5,99.9,0.0,31.2,95.8
battery powered lawn mower reviews,15,58.6,92.5,99.8,0.2,7.5,41.4
beach home,12,0.0,62.8,100.0,0.0,12.2,99.9
beacon orthopaedics & sports medicine,8,0.0,57.4,100.0,0.0,4.2,28.2
beadboard wainscoting,11,0.0,81.1,100.0,0.0,3.5,20.7
bedroom closet closet ideas,14,86.6,97.7,100.0,0.0,2.3,13.4
bedspreads queen,7,0.0,38.1,100.0,0.0,15.8,92.7
bee and wasp stings,19,27.2,77.8,99.8,0.2,22.2,72.8
begonia rex,17,0.0,76.7,99.7,0.0,17.7,72.5
behind closed doors,8,0.0,52.8,99.2,0.0,8.8,75.2
bell's palsy causes,18,54.6,84.7,99.9,0.1,15.3,45.4
benadryl dosage for dogs,20,23.8,83.6,100.0,0.0,16.4,76.2
benefits of almond milk,19,46.3,92.0,100.0,0.0,8.0,53.7
benefits of green beans,19,3.3,82.0,100.0,0.0,18.0,96.7
benefits of sweet potatoes,20,57.0,91.6,100.0,0.0,8.4,43.0
bentgo,7,0.0,37.2,98.9,0.0,26.5,99.6
berry plastics,12,43.2,85.0,99.9,0.1,15.0,56.8
best app to sell stuff,18,50.5,85.8,99.8,0.2,14.2,49.5
best body pillow,20,73.9,94.0,99.9,0.1,6.0,26.1
best company for furniture,20,62.4,93.0,99.9,0.1,7.0,37.6
best cooling pillow,18,82.1,96.7,100.0,0.0,3.3,17.9
best deadbolt locks,18,73.6,91.7,99.2,0.8,8.3,26.4
best desk lamp,17,0.0,85.2,99.9,0.0,9.2,56.4
best dishwasher brand,20,79.4,95.4,99.7,0.3,4.6,20.6
best furniture store,20,35.3,83.5,100.0,0.0,16.5,64.7
best gas ranges,16,0.0,89.2,99.7,0.0,5.0,18.6
best handheld vacuum,19,41.9,90.5,99.9,0.1,9.5,58.1
best heart healthy foods,18,38.0,90.7,100.0,0.0,9.3,62.0
best indoor ant killer,20,40.7,86.7,99.7,0.3,13.3,59.3
best insulation for exterior walls,17,47.6,93.6,100.0,0.0,6.4,52.4
best interstate moving companies,18,44.3,88.9,100.0,0.0,11.1,55.7
best over the counter toenail fungus treatment,18,49.8,86.6,99.9,0.1,13.4,50.2
best paint for interior walls,15,0.0,80.6,99.9,0.0,13.1,61.3
best place to buy rugs,19,66.4,95.4,100.0,0.0,4.6,33.6
best pool vacuum for above ground pool,17,43.0,79.3,99.9,0.1,20.7,57.0
best pressure washer for home use,19,47.8,90.3,99.8,0.2,9.7,52.2
best shoe cleaner,19,48.5,86.1,100.0,0.0,13.9,51.5
best sleeping position for peripheral artery disease,18,20.9,87.1,100.0,0.0,12.9,79.1
best sources of calcium,20,54.7,92.2,100.0,0.0,7.8,45.3
best surge protector,14,48.4,89.4,100.0,0.0,10.6,51.6
best time to fertilize lawn,18,8.9,91.7,100.0,0.0,8.3,91.1
best time to plant trees,18,0.0,82.7,100.0,0.0,12.1,100.0
best vaccuum,13,0.0,82.4,99.9,0.0,10.5,79.8
best vacuum brand,19,82.4,95.1,99.9,0.1,4.9,17.6
best way to organize closet,16,0.0,93.3,100.0,0.0,0.8,5.7
beta alanine,18,0.0,85.3,99.9,0.0,9.5,31.0
bifocal sunglasses,12,0.0,70.3,100.0,0.0,4.7,24.5
bike bag,14,0.0,57.5,99.7,0.0,12.5,55.9
bike racks,16,0.0,67.1,99.5,0.0,17.1,82.9
bilateral pneumonia,19,0.0,77.9,99.8,0.0,17.1,98.4
binaural,14,0.0,66.9,100.0,0.0,15.4,58.2
biofreeze roll on,9,0.0,53.4,99.9,0.0,10.9,91.7
biogesic,10,0.0,46.4,100.0,0.0,30.5,100.0
birth control for men,18,39.0,86.5,100.0,0.0,13.5,61.0
birthday balloons,14,0.0,73.4,99.9,0.0,8.9,58.6
birthday cards,13,0.0,68.5,100.0,0.0,12.8,76.5
bissell big green machine,10,0.0,68.6,100.0,0.0,8.3,62.9
black bikini top,6,0.0,46.1,100.0,0.0,8.4,42.7
black coffee benefits,20,52.3,82.4,100.0,0.0,17.6,47.7
black overalls womens,6,0.0,42.9,99.9,0.0,7.1,63.0
black platform sneakers,7,0.0,43.5,98.7,0.0,10.4,27.7
black rooms,16,0.0,89.6,100.0,0.0,4.5,49.3
black slacks women,7,0.0,51.4,99.9,0.0,12.3,63.9
block wall,8,0.0,62.3,99.9,0.0,4.4,17.7
blood clot in the knee,19,36.1,86.9,100.0,0.0,13.1,63.9
blood lily,16,0.0,87.9,100.0,0.0,6.3,58.7
blood pressure range,20,55.0,87.4,99.8,0.2,12.6,45.0
bloodstone benefits,17,0.0,70.0,99.9,0.0,19.4,95.7
bloody gums,20,22.9,86.8,100.0,0.0,13.2,77.1
bloomchic,8,0.0,52.3,99.7,0.0,14.4,77.4
blue bathroom,14,38.7,86.4,100.0,0.0,13.6,61.3
blue mist flower,16,0.0,81.9,100.0,0.0,2.3,17.0
bluetooth sunglasses,10,0.0,50.3,100.0,0.0,12.2,96.0
blushing philodendron,13,0.0,71.2,99.9,0.0,10.0,63.9
boho bed,11,0.0,70.7,99.9,0.0,13.9,56.5
botas,8,0.0,25.2,99.1,0.0,21.9,76.1
boxelder maple,18,46.7,93.3,100.0,0.0,6.7,53.3
breast pain,18,0.0,71.3,99.9,0.0,23.4,95.3
brine tank,12,0.0,62.0,100.0,0.0,4.7,62.2
brow lamination kit,17,0.0,81.5,99.9,0.0,8.0,52.2
brown house spiders,18,0.0,85.7,99.8,0.0,9.1,49.0
brown recluse bites,19,30.8,87.8,99.9,0.1,12.2,69.2
bruise like spots on skin that aren't bruises,20,58.3,82.4,100.0,0.0,17.6,41.7
brutal prince,9,0.0,39.0,100.0,0.0,17.3,97.1
bubble gun,13,0.0,39.4,99.3,0.0,32.8,99.2
buchona,8,0.0,37.6,99.8,0.0,19.5,68.3
bug zapper,12,0.0,79.5,99.9,0.0,6.2,26.1
built in coffee maker,14,0.0,69.2,99.9,0.0,18.3,72.1
bukakke,10,0.0,61.6,100.0,0.0,5.1,51.1
bull horns,15,0.0,60.6,99.9,0.0,22.7,96.9
bumex,18,0.0,70.8,99.6,0.0,23.9,69.6
bump eraser body scrub,8,0.0,59.0,95.8,0.0,13.7,43.2
bumps under eyelid,19,0.0,79.8,99.8,0.0,15.2,76.3
bunny cage,10,0.0,58.5,99.0,0.0,12.9,74.8
burning bush shrub,18,0.0,77.5,100.0,0.0,17.2,99.0
burro's tail plant,19,0.0,87.9,99.9,0.0,7.1,53.8
bursitis knee treatment,18,57.1,86.6,99.6,0.4,13.4,42.9
cabinet handle placement,17,50.8,89.3,99.8,0.2,10.7,49.2
cabinets for laundry room,10,0.0,65.9,100.0,0.0,25.0,95.6
california king bed frame,7,0.0,41.5,94.4,0.0,28.5,68.3
call rick,12,0.0,54.4,99.9,0.0,20.6,76.1
can dogs eat fruit,19,46.5,92.1,99.9,0.1,7.9,53.5
can men get utis,19,50.0,87.5,99.9,0.1,12.5,50.0
can weed cause lung cancer,19,57.5,88.2,99.9,0.1,11.8,42.5
canvas sneakers,12,0.0,58.5,99.9,0.0,21.5,71.5
capstar for dogs,13,0.0,79.9,99.9,0.0,13.0,55.3
car shade,10,0.0,53.6,100.0,0.0,8.9,56.2
card shuffler,12,0.0,60.2,99.8,0.0,14.8,79.9
cardboard shredder,14,0.0,81.2,100.0,0.0,12.2,81.8
carespot urgent care of,10,0.0,60.3,99.8,0.0,6.3,75.3
casaluna towels,10,0.0,64.6,99.7,0.0,6.8,31.5
casodex,18,33.7,81.5,98.3,1.7,18.5,66.3
caster oil,16,11.2,77.5,99.9,0.1,22.5,88.8
catch flies,14,0.0,70.0,100.0,0.0,17.5,93.4
catherines,9,0.0,53.2,100.0,0.0,11.1,68.1
causes of fatty liver,19,5.5,71.1,99.8,0.2,28.9,94.5
ceiling fan pull chain switch,5,0.0,31.6,97.0,0.0,10.1,50.2
central sleep apnea,18,55.7,89.6,99.8,0.2,10.4,44.3
ceramic floor tile,12,0.0,74.9,99.9,0.0,10.8,59.1
cheap greenhouse,13,65.3,95.4,100.0,0.0,4.6,34.7
cheap heated blankets,12,0.0,67.2,99.9,0.0,12.8,80.2
cheap polarized sunglasses,15,0.0,79.7,99.9,0.0,8.6,40.7
cheap squishmallows,12,0.0,59.6,99.7,0.0,32.7,94.9
cheaper by the dozen 2,16,0.0,80.5,100.0,0.0,13.6,98.2
chelone,16,0.0,75.3,100.0,0.0,8.9,87.4
chicken feeder,13,0.0,71.8,100.0,0.0,14.8,69.5
chicken nesting boxes,13,0.0,64.4,99.9,0.0,22.3,86.4
childproof outlet covers,14,0.0,78.4,100.0,0.0,9.1,49.0
chloraseptic spray,5,0.0,54.2,99.8,0.0,8.3,40.4
chlorophyll supplement,16,0.0,75.3,100.0,0.0,18.8,63.5
chokecherries,14,0.0,80.3,100.0,0.0,2.1,12.7
choline benefits,20,45.6,85.8,100.0,0.0,14.2,54.4
cinderella 2021,12,0.0,80.3,100.0,0.0,5.4,44.1
ciprofloxacin hcl,12,0.0,67.8,100.0,0.0,17.9,50.9
citrine spiritual meaning,18,2.7,79.6,100.0,0.0,20.4,97.3
clean blackstone griddle,16,0.0,65.8,98.6,0.0,28.3,90.3
clean dirty dishwasher magnet,13,0.0,60.1,100.0,0.0,16.4,96.7
cleaning dryer,17,85.7,97.7,100.0,0.0,2.3,14.3
clear fruit water,5,0.0,23.5,80.2,0.0,21.9,67.5
clear scorpion,16,0.0,70.4,99.8,0.0,18.5,65.7
climbing jasmine,16,13.0,91.4,100.0,0.0,8.6,87.0
climbing sticks,10,0.0,53.6,99.0,0.0,13.1,81.6
clindamycin 300mg capsules,16,0.0,70.4,99.2,0.0,23.7,82.0
clindamycin phosphate topical solution,13,0.0,57.4,98.6,0.0,29.3,97.2
clip fan,5,0.0,49.4,99.9,0.0,0.6,2.2
clothes folding table,8,0.0,35.0,98.9,0.0,22.2,98.8
clp gun cleaner,14,0.0,60.3,100.0,0.0,17.4,89.8
coach slides women,5,0.0,31.0,99.3,0.0,10.6,90.4
coat hooks,10,0.0,65.9,100.0,0.0,11.1,67.4
cod nutrition,14,0.0,68.2,99.9,0.0,14.1,87.6
coffe plant,12,0.0,56.5,99.9,0.0,14.1,96.9
coffee table decor ideas,15,58.5,90.4,100.0,0.0,9.6,41.5
coleus annual or perennial,19,87.7,97.7,100.0,0.0,2.3,12.3
colorado spruce,16,0.0,88.1,100.0,0.0,6.0,54.3
common window sizes,19,7.1,81.5,99.9,0.1,18.5,92.9
compazine side effects,18,0.5,74.9,100.0,0.0,25.1,99.5
composite wood decking,16,0.0,89.3,100.0,0.0,4.8,27.7
compost bin diy,15,64.2,91.8,100.0,0.0,8.2,35.8
composting toilet,17,0.0,76.3,99.9,0.0,18.2,99.3
compression ankle socks,14,0.0,63.6,99.9,0.0,14.2,77.6
congestive heart failure treatment,20,40.0,76.6,98.9,1.1,23.4,60.0
contorted filbert,14,0.0,61.8,100.0,0.0,11.9,85.2
cooling towel,8,0.0,40.8,99.9,0.0,9.2,95.6
corn benefits,19,43.6,84.1,100.0,0.0,15.9,56.4
corner chair,7,0.0,46.9,100.0,0.0,3.1,26.1
corner decor,11,0.0,75.2,99.9,0.0,9.4,58.6
corner shelf,11,0.0,69.1,99.9,0.0,9.5,63.2
cotton bed sheets,9,0.0,60.7,100.0,0.0,3.6,26.1
cotton sheet sets,12,0.0,74.2,99.8,0.0,11.5,82.9
countertop laminate resurfacing,13,86.6,97.6,100.0,0.0,2.4,13.4
covid deaths 2021,19,47.0,84.2,99.8,0.2,15.8,53.0
covid stomach issues,16,35.8,88.2,100.0,0.0,11.8,64.2
cow print bathing suit,11,0.0,34.8,99.9,0.0,38.6,99.9
cozy apartment living room ideas,15,59.5,92.5,100.0,0.0,7.5,40.5
crabgrass killer,14,0.0,70.1,100.0,0.0,12.2,43.5
cramp bark,18,0.0,90.7,100.0,0.0,4.0,26.8
crassula plant,19,0.0,73.8,99.9,0.0,21.2,97.6
creative 16th birthday gift ideas,19,15.6,82.5,100.0,0.0,17.5,84.4
crossandra plant,17,33.6,93.5,100.0,0.0,6.5,66.4
ct scan with contrast,20,35.9,86.5,99.8,0.2,13.5,64.1
cuisinart ice cream maker,12,0.0,52.6,99.9,0.0,22.4,95.7
curbless shower ideas,16,8.3,71.5,100.0,0.0,28.5,91.7
cute bags,12,0.0,64.4,99.7,0.0,27.9,68.5
cute black girs,8,0.0,50.4,99.9,0.0,11.1,61.9
cutting boards,12,0.0,84.1,99.9,0.0,1.6,6.2
d dimer,17,48.3,77.0,99.4,0.6,23.0,51.7
d20,15,0.0,66.0,99.9,0.0,22.2,96.9
danos seasoning,5,0.0,27.0,98.6,0.0,14.6,88.3
dark living room ideas,16,49.8,95.4,100.0,0.0,4.6,50.2
dark period blood meaning,20,90.1,97.8,99.9,0.1,2.2,9.9
deacon king kong,12,0.0,67.2,99.9,0.0,12.8,50.6
deal of the day,7,0.0,37.4,98.0,0.0,16.5,96.6
deck box,7,0.0,46.6,99.7,0.0,17.0,89.7
deck painting,15,56.8,91.7,100.0,0.0,8.3,43.2
decks and patios,15,0.0,83.9,99.9,0.0,4.3,28.9
demogorgon funko pop,6,0.0,37.2,97.4,0.0,12.8,62.7
desenex cream,18,0.0,84.7,99.9,0.0,10.0,47.9
dexamethasone 4 mg tablet,15,3.5,62.5,99.4,0.6,37.5,96.5
diabetic foot,18,4.9,76.1,99.9,0.1,23.9,95.1
diastasis,18,4.2,90.1,99.9,0.1,9.9,95.8
difference between virus and bacteria,20,47.0,83.7,99.9,0.1,16.3,53.0
diphenhydramine citrate,9,0.0,80.8,99.9,0.0,9.2,32.5
dissolving swim trunks,11,0.0,60.0,99.9,0.0,13.3,99.1
diy grill station,13,0.0,67.1,100.0,0.0,19.6,96.3
do antidepressants cause weight gain,17,52.2,87.2,99.9,0.1,12.8,47.8
do roosters lay eggs,18,0.0,85.9,100.0,0.0,8.9,95.2
dockers shorts,10,0.0,34.7,100.0,0.0,24.2,90.0
does cannabidiol have thc,19,31.5,77.3,99.5,0.5,22.7,68.5
does coffee stunt your growth,17,0.0,88.0,100.0,0.0,6.5,56.1
does compound w work,13,0.0,68.4,99.2,0.0,18.3,76.5
dog separation anxiety,19,0.0,87.3,100.0,0.0,7.7,97.0
dog treats,15,0.0,71.7,99.9,0.0,16.5,62.9
doorbell,15,0.0,82.9,99.5,0.0,10.8,42.6
dorm organization,15,0.0,78.1,100.0,0.0,10.1,48.3
dorm storage ideas,16,0.0,87.8,100.0,0.0,6.3,29.5
doxycycline hyc,14,2.4,71.7,99.7,0.3,28.3,97.6
drag race all stars 7,14,0.0,68.8,100.0,0.0,18.7,96.3
drain hose washing machine,11,0.0,58.8,99.2,0.0,14.6,78.3
dress belt,10,0.0,45.4,99.9,0.0,31.5,95.9
dri fit polo shirts,10,0.0,46.4,99.1,0.0,12.4,88.3
drinking too much water symptoms,20,37.5,92.8,100.0,0.0,7.2,62.5
driving simulator,16,0.0,67.9,99.9,0.0,16.3,85.2
drop in range,10,0.0,56.4,100.0,0.0,15.0,74.9
drugs for adhd,17,0.0,76.0,99.8,0.0,18.5,40.6
dry scalp treatment,18,0.0,83.7,99.9,0.0,11.0,49.4
drying rack,11,0.0,54.5,99.8,0.0,24.0,97.5
dt770,10,0.0,70.1,100.0,0.0,6.8,26.3
dysania,12,0.0,66.0,99.9,0.0,19.7,88.0
eaglemoss star trek,10,0.0,50.0,99.6,0.0,16.7,100.0
ear eczema,18,0.0,76.6,100.0,0.0,18.1,81.2
ear irrigation kit,12,0.0,73.6,100.0,0.0,18.7,72.4
early stage blood clot in foot pictures,17,0.0,67.4,100.0,0.0,27.1,96.9
eating placenta,19,59.8,92.0,100.0,0.0,8.0,40.2
ebony thin,7,0.0,37.0,99.9,0.0,13.0,88.1
ecr,15,0.0,76.3,99.9,0.0,11.9,76.7
eczema on face pictures,18,0.0,77.8,99.7,0.0,17.0,93.5
eczema pictures on adults,20,55.6,87.7,99.7,0.3,12.3,44.4
eeg test,19,3.1,77.1,99.6,0.4,22.9,96.9
efavirenz,14,0.0,60.1,98.1,0.0,17.7,55.7
effects of molly,17,0.0,79.3,100.0,0.0,5.7,71.1
elderberry bush,19,2.3,81.2,100.0,0.0,18.8,97.7
electric dryer,9,0.0,57.5,100.0,0.0,17.5,99.1
elephant ear,19,0.0,87.2,100.0,0.0,7.8,81.8
emulsion de scott,10,0.0,33.2,99.5,0.0,25.7,96.7
english roses,17,0.0,88.1,100.0,0.0,6.3,48.8
epiduo,14,0.0,64.9,99.2,0.0,17.5,74.2
evening primrose oil pregnancy,15,28.1,83.8,99.9,0.1,16.2,71.9
excessive belching,20,63.6,95.1,100.0,0.0,4.9,36.4
exercises for osteoporosis,16,0.0,73.6,100.0,0.0,20.5,95.3
exfoliating brush,12,0.0,57.8,100.0,0.0,12.8,91.8
exotic angel plant,10,0.0,80.0,99.9,0.0,10.9,51.3
exterior stair railing code,12,0.0,67.5,99.9,0.0,7.5,52.0
extreme tiredness,18,0.0,70.3,100.0,0.0,19.7,56.8
fake belly button piercing,10,0.0,55.0,99.4,0.0,11.7,99.9
fashion backpacks,14,39.6,82.2,99.9,0.1,17.8,60.4
fat foods,20,34.6,91.4,99.9,0.1,8.6,65.4
fat tire electric bike,15,0.0,66.9,99.6,0.0,12.0,96.6
feeling insecure,18,0.0,84.9,99.9,0.0,9.8,43.0
feldene,15,0.0,67.9,99.2,0.0,20.4,65.1
fexofenadine hcl 180 mg,13,0.0,59.3,99.5,0.0,22.0,61.5
fiddle leaf,18,79.6,96.0,99.9,0.1,4.0,20.4
fig leaf tree,17,52.0,96.0,100.0,0.0,4.0,48.0
first frost date,14,0.0,75.5,100.0,0.0,6.9,48.2
flower hair clips,11,0.0,37.7,99.8,0.0,27.0,97.3
