kw,count,%_Human_Min,%_Human_Mean,%_Human_Max,%_AI_Min,%_AI_Mean,%_AI_max
pain right side abdomen,18,0.0,74.9,99.6,0.0,19.9,72.2
paint colors that go with beige walls,13,0.0,81.0,100.0,0.0,11.8,96.8
paint walls or trim first,15,0.0,73.9,99.8,0.0,14.4,73.4
painted fireplaces,17,7.3,89.3,100.0,0.0,10.7,92.7
painted stairs ideas,17,72.5,97.0,100.0,0.0,3.0,27.5
pantoprazole 20 mg,18,23.2,76.2,99.6,0.4,23.8,76.8
passport holder women,8,0.0,64.0,99.2,0.0,8.7,57.6
penguin squishmallow,11,0.0,38.6,98.8,0.0,34.7,96.3
percocet 10,18,0.0,80.5,99.8,0.0,14.2,44.4
pericardial effusion,15,0.0,82.4,100.0,0.0,11.3,52.7
pet corrector,9,0.0,48.6,100.0,0.0,7.6,60.7
philodendron birkin care,19,24.0,88.7,99.9,0.1,11.3,76.0
pictures of cellulitis,15,0.0,75.2,99.4,0.0,13.1,96.9
pimples in eyelid,19,0.0,83.9,99.9,0.0,11.1,53.0
pine nut benefit,18,0.0,80.4,100.0,0.0,14.4,67.3
pink quill,18,0.0,85.1,100.0,0.0,9.7,60.3
pinworm infection,19,51.0,89.1,99.9,0.1,10.9,49.0
plant potatoes,18,83.4,95.7,100.0,0.0,4.3,16.6
planting blueberries,15,0.0,80.7,100.0,0.0,2.6,18.7
plaster wall,16,0.0,89.4,100.0,0.0,4.7,49.6
playing card holder,11,0.0,51.6,99.9,0.0,17.2,99.5
playstation 2,9,0.0,43.0,99.8,0.0,13.2,95.7
pleurisy symptoms,18,0.0,87.4,99.8,0.0,7.3,26.3
plexion cleanser,13,0.0,57.8,100.0,0.0,23.5,98.2
plus size skort,7,0.0,36.1,98.9,0.0,13.9,83.0
pomegranate vitamins,17,0.0,75.8,100.0,0.0,13.7,88.1
pool house ideas,17,2.4,87.0,100.0,0.0,13.0,97.6
pool noodle,8,0.0,65.6,99.9,0.0,7.1,54.9
pop its,12,0.0,42.2,99.9,0.0,28.4,84.9
portable dishwasher on wheels,8,0.0,54.6,100.0,0.0,6.9,42.4
portable washer and dryer for apartments without hookups,14,0.0,67.1,99.8,0.0,26.2,98.0
posture corrector,13,0.0,68.2,99.7,0.0,8.2,34.4
power surge protector,13,0.0,79.1,99.9,0.0,7.6,26.1
preparing for colonoscopy,16,51.3,89.9,99.9,0.1,10.1,48.7
pressure back of head,20,8.1,84.5,100.0,0.0,15.5,91.9
pressure in back of head,19,8.1,82.4,98.9,1.1,17.6,91.9
pride and prejudice book,14,0.0,66.9,100.0,0.0,10.9,71.4
prime days,18,0.0,86.1,99.7,0.0,8.7,33.6
prime movies,17,0.0,74.5,99.9,0.0,19.9,99.6
pristiq side effects,17,0.0,58.5,93.2,0.0,35.9,71.5
prolotherapy near me,16,0.0,84.3,100.0,0.0,9.8,69.4
prozac medication,18,27.4,73.9,99.9,0.1,26.1,72.6
prozac side effects in women,18,40.8,77.8,99.8,0.2,22.2,59.2
prune juice for babies,15,0.0,74.6,100.0,0.0,13.7,66.8
prv valve,12,5.4,87.1,100.0,0.0,12.9,94.6
psoriasis on black skin,17,41.3,89.5,100.0,0.0,10.5,58.7
psyllium husk,14,0.0,83.6,99.8,0.0,9.7,37.2
ptsd treatment,16,7.4,73.2,97.0,3.0,26.8,92.6
pulled hamstring,18,1.5,83.3,100.0,0.0,16.7,98.5
punk 57,14,0.0,66.6,100.0,0.0,15.8,71.6
purple velvet plant,19,31.8,91.8,99.9,0.1,8.2,68.2
pyridostigmine bromide,16,0.0,80.8,99.9,0.0,13.3,62.7
radiant heat,13,85.7,97.8,100.0,0.0,2.2,14.3
railing height code,13,0.0,74.6,100.0,0.0,6.7,58.3
rainbow bridge poem,14,0.0,79.8,100.0,0.0,7.7,85.5
raisins nutrition,17,0.0,88.8,100.0,0.0,5.7,57.3
range finder,13,0.0,59.8,99.5,0.0,26.9,99.7
rash guard women,13,0.0,64.0,100.0,0.0,22.7,79.8
reading chair,14,0.0,79.0,100.0,0.0,14.3,67.3
rechargeable flashlight,14,0.0,86.7,98.9,0.0,6.6,17.2
rectangular living room layout with tv,15,71.1,94.8,100.0,0.0,5.2,28.9
red and black bugs in garden,18,50.8,92.8,100.0,0.0,7.2,49.2
red assassin bug,14,0.0,68.7,100.0,0.0,9.1,93.9
red blotches on skin,20,0.9,73.9,98.2,1.8,26.1,99.1
red grass,18,0.0,90.9,100.0,0.0,3.9,34.5
redeeming love book,15,0.0,74.4,100.0,0.0,13.8,71.4
reiki massage,15,0.0,85.9,100.0,0.0,7.8,45.5
repotting orchids,18,8.9,88.2,100.0,0.0,11.8,91.1
resource guarding in dogs,19,71.1,95.1,100.0,0.0,4.9,28.9
resurface bathtub,17,91.1,97.5,100.0,0.0,2.5,8.9
retractable baby gate,8,0.0,48.5,99.8,0.0,8.7,37.8
retractable sun shade,15,0.0,72.6,99.9,0.0,15.6,99.5
revatio,16,0.0,72.3,99.9,0.0,21.8,63.7
reverse diabetes,17,55.1,94.4,99.9,0.1,5.6,44.9
river shoes,16,0.0,78.0,99.9,0.0,10.8,36.0
robot pool vacuum,14,0.0,77.7,100.0,0.0,9.8,49.6
rompers,9,0.0,61.4,100.0,0.0,20.4,80.3
room drawing,14,0.0,77.2,99.8,0.0,16.1,96.9
rope,15,0.0,69.2,99.9,0.0,24.6,92.6
rose care,14,0.0,81.4,100.0,0.0,6.1,49.8
rosier miniature rose,13,0.0,85.1,100.0,0.0,1.6,11.6
roulette wheel,10,0.0,47.5,99.8,0.0,15.0,99.3
round wood coffee table,7,0.0,47.5,99.7,0.0,10.8,63.4
rub n buff,13,0.0,58.4,98.5,0.0,13.8,89.2
ruched midi dress,10,0.0,48.0,99.9,0.0,23.5,86.5
rudbeckia,18,0.0,84.1,100.0,0.0,10.6,61.8
rug over carpet,14,56.7,94.1,100.0,0.0,5.9,43.3
runners knee,18,0.0,83.8,100.0,0.0,10.9,85.9
rust stains on clothes,18,51.5,91.6,100.0,0.0,8.4,48.5
sage tea,12,0.0,71.5,99.9,0.0,8.5,45.8
saline spray for piercings,13,0.0,72.4,99.8,0.0,8.8,29.7
salish matter,6,0.0,37.8,96.3,0.0,16.7,87.2
salt rooms,20,77.1,96.1,100.0,0.0,3.9,22.9
sambac jasmine,15,44.7,90.4,100.0,0.0,9.6,55.3
samsung a13,12,0.0,61.5,99.9,0.0,9.1,53.7
samsung galaxy a10e,14,0.1,72.6,100.0,0.0,27.4,99.9
satsuma orange,18,0.0,86.7,100.0,0.0,8.0,56.8
scalp psoriasis causes,19,62.5,86.7,99.9,0.1,13.3,37.5
schilling test,13,0.0,69.7,100.0,0.0,6.8,46.1
screened in back porch ideas,14,59.4,90.2,100.0,0.0,9.8,40.6
screw extractor,12,0.0,66.0,99.4,0.0,19.8,92.4
sea moss health benefits,18,10.3,77.1,99.9,0.1,22.9,89.7
self cleaning oven,18,55.2,89.6,100.0,0.0,10.4,44.8
semi formal wear,11,0.0,78.8,99.8,0.0,5.8,31.9
senna side effects,18,41.6,87.0,100.0,0.0,13.0,58.4
septic,17,0.0,68.2,99.9,0.0,16.8,89.0
septic pump out,18,55.3,91.6,100.0,0.0,8.4,44.7
sequin bodysuit,11,0.0,33.5,86.4,0.0,35.2,96.7
sertraline 50mg,15,0.0,69.2,99.0,0.0,24.5,59.9
shamrock vs clover,19,0.0,89.5,100.0,0.0,5.5,40.2
sharp tvs,9,0.0,46.8,99.8,0.0,17.5,90.6
shea butter,19,0.0,87.3,100.0,0.0,7.7,33.6
sheepskin rug,13,0.0,71.5,99.9,0.0,15.1,75.8
shelf in laundry room,12,0.0,80.3,100.0,0.0,12.0,55.6
shingles on leg pictures,17,0.0,75.8,99.8,0.0,18.6,96.9
shoe cabinet entryway,8,0.0,49.7,100.0,0.0,11.9,69.1
shop fans,10,0.0,64.5,99.9,0.0,12.4,68.7
short jumpsuits for women,5,0.0,46.5,99.8,0.0,9.1,70.0
should you wash new sheets,18,0.0,90.6,100.0,0.0,4.2,22.2
shoulder impingement,15,0.0,86.8,99.9,0.0,1.5,7.8
shower rack,9,0.0,55.7,99.9,0.0,4.3,26.1
side table lamps,12,0.0,72.2,100.0,0.0,13.5,94.7
siding materials,14,70.4,93.0,100.0,0.0,7.0,29.6
signs mirena is wearing off,18,4.3,82.0,100.0,0.0,18.0,95.7
signs your dog loves you,16,89.4,98.3,100.0,0.0,1.7,10.6
sildenafil side effects,18,39.4,67.3,92.2,7.8,32.7,60.6
simp card,13,0.0,50.3,99.1,0.0,30.9,100.0
simple nursery,16,0.0,85.5,100.0,0.0,8.7,58.9
simple small bathroom ideas,16,51.1,95.9,100.0,0.0,4.1,48.9
sing unburied sing,14,0.0,77.3,100.0,0.0,16.0,85.0
sk tools,10,0.0,52.9,99.8,0.0,24.0,86.2
skin growths pictures,19,15.8,78.7,99.9,0.1,21.3,84.2
sleep apnea treatment,19,53.9,86.0,100.0,0.0,14.0,46.1
slugs in garden,18,0.0,91.6,100.0,0.0,3.2,52.6
small bedroom lighting ideas,19,68.0,93.2,100.0,0.0,6.8,32.0
small deep freezer,8,0.0,69.8,99.7,0.0,10.2,27.8
small galley kitchen ideas on a budget,16,91.5,99.1,100.0,0.0,0.9,8.5
small gold hoop earrings,9,0.0,33.6,67.4,0.0,41.4,96.0
small kitchen backsplash ideas,16,60.2,96.3,99.9,0.1,3.7,39.8
small pond ideas with waterfall,13,0.0,85.5,100.0,0.0,7.3,50.9
small riding lawn mower,10,0.0,76.4,99.5,0.0,6.9,26.1
small spiders,13,0.0,65.7,100.0,0.0,6.5,57.5
small stackable washer and dryer,14,0.0,79.9,100.0,0.0,13.4,56.4
small yellow flowers,19,63.9,95.2,100.0,0.0,4.8,36.1
smart garage door opener,14,0.0,76.3,99.6,0.0,11.2,56.7
snap in dentures,19,52.0,92.8,100.0,0.0,7.2,48.0
snow mold,20,73.9,96.7,100.0,0.0,3.3,26.1
snuggie,9,0.0,42.1,99.9,0.0,14.1,73.0
soccer net,14,0.0,75.6,99.9,0.0,11.9,54.9
social anxiety,18,0.0,81.7,99.9,0.0,13.1,42.8
sod installation near me,16,3.9,87.3,100.0,0.0,12.7,96.1
sofra,9,0.0,57.5,100.0,0.0,11.7,98.0
sounds of birds,14,0.0,69.1,100.0,0.0,4.6,38.5
sparkles dress,9,0.0,44.9,99.8,0.0,24.3,65.5
spatula,13,0.0,59.1,99.8,0.0,27.5,100.0
spider bites on leg,20,27.2,76.9,99.7,0.3,23.1,72.8
spider gag,11,0.0,52.3,99.8,0.0,12.4,67.3
splenic flexure syndrome,15,0.0,85.8,100.0,0.0,7.9,53.5
sqs,17,0.0,75.2,99.5,0.0,19.2,96.6
sre,15,0.0,77.8,99.9,0.0,10.4,48.7
stages of wound healing pictures,17,0.0,79.5,100.0,0.0,14.9,96.9
standard outlet height,13,0.0,71.9,99.9,0.0,14.7,95.4
staph infection on leg,18,0.0,73.8,99.5,0.0,20.9,75.0
steeping tea,18,52.6,90.5,100.0,0.0,9.5,47.4
stitch squishmallow,8,0.0,23.2,88.5,0.0,21.3,75.5
stomach fat workout,16,0.0,80.3,99.9,0.0,13.8,54.7
stony brook advanced pediatric care,11,0.0,63.3,99.9,0.0,10.1,47.0
storagw,7,0.0,54.4,99.9,0.0,3.9,38.4
store outdoor furniture,10,0.0,74.2,100.0,0.0,16.7,95.8
strain injury symptoms,19,56.2,92.2,100.0,0.0,7.8,43.8
stranger things gifts,18,1.3,82.6,99.9,0.1,17.4,98.7
strap on,19,10.0,76.3,99.8,0.2,23.7,90.0
string of dolphins plant,16,0.0,77.9,100.0,0.0,16.3,68.1
string-of-pearls,18,0.0,82.2,100.0,0.0,12.5,84.5
stye in eye,18,0.0,80.0,99.9,0.0,14.7,55.7
succulent subscription,17,0.0,82.1,100.0,0.0,12.3,64.9
sugar free maple syrup,13,0.0,68.5,98.8,0.0,18.2,86.2
sun poisoning treatment at home,20,29.3,88.1,100.0,0.0,11.9,70.7
sun umbrella,11,0.0,64.5,99.9,0.0,20.1,97.1
sweat headbands,11,0.0,60.0,99.9,0.0,8.8,47.7
sweet pea bush,16,0.0,87.0,100.0,0.0,7.1,88.8
switch plate covers,11,0.0,63.0,99.9,0.0,15.5,93.0
tankini with shorts,10,0.0,63.9,99.4,0.0,27.0,99.9
tape recorder,12,0.0,62.2,99.9,0.0,12.8,72.0
tattoo numbing cream,15,0.0,67.1,99.9,0.0,16.2,72.5
taurine benefits,20,33.7,82.2,100.0,0.0,17.8,66.3
te de manzanilla,14,0.0,71.8,100.0,0.0,1.9,26.1
teacher bag,15,0.0,70.8,100.0,0.0,12.5,56.9
tech backpack,17,27.8,76.6,100.0,0.0,23.4,72.2
technica open ear headphones,8,0.0,54.8,99.9,0.0,2.3,15.2
tent hammock,17,0.0,85.0,99.9,0.0,9.5,74.4
termite vs ant,17,52.1,88.6,100.0,0.0,11.4,47.9
the last cuentista,14,0.0,63.0,100.0,0.0,14.7,73.9
the lost book of herbal remedies,13,0.0,63.6,100.0,0.0,17.7,99.9
thistle flower,16,9.8,83.3,100.0,0.0,16.7,90.2
thorazine side effects,19,1.3,78.8,99.3,0.7,21.2,98.7
tilapia nutrition,13,12.4,85.6,100.0,0.0,14.4,87.6
tingling fingers,19,30.9,88.5,99.6,0.4,11.5,69.1
tiny house village,17,0.0,88.3,100.0,0.0,6.1,50.6
tire valve caps,6,0.0,25.9,96.7,0.0,20.3,93.8
toenail clippers for thick nails,12,0.0,56.5,99.9,0.0,18.5,58.9
toilet flapper replacement,12,0.0,63.0,99.9,0.0,12.0,87.3
toilet running,17,0.0,85.4,100.0,0.0,9.0,38.3
top 10 iron-rich foods,18,0.0,83.4,100.0,0.0,11.3,54.0
top gun 2 release date dvd,14,0.0,76.9,100.0,0.0,10.6,52.7
top of foot pain,20,5.7,82.2,100.0,0.0,17.8,94.3
topical cream antifungal,16,0.0,72.7,99.4,0.0,21.4,90.3
topiramate 50 mg,16,0.0,61.7,95.5,0.0,22.5,61.3
torch lily,16,0.0,77.1,100.0,0.0,7.1,80.2
torch scorch,15,0.0,44.0,94.9,0.0,39.4,99.3
toshiba satellite,12,0.0,58.6,97.9,0.0,16.4,97.6
towel storage ideas,16,30.6,93.8,99.9,0.1,6.2,69.4
toy story shirt,8,0.0,43.7,98.5,0.0,17.8,64.5
toys for 2 year old boys,15,0.0,86.8,99.9,0.0,6.9,67.0
trash bin,10,0.0,37.3,99.8,0.0,34.1,97.7
tree stump grinding,18,31.6,83.7,100.0,0.0,16.3,68.4
treehouse for kids,12,0.0,69.4,99.9,0.0,10.6,96.4
trendy sunglasses,13,0.0,56.8,99.9,0.0,24.5,86.6
tri lo mili,14,0.0,63.6,97.6,0.0,23.9,97.4
triamcinolone 0.1 cream,16,0.0,72.4,99.4,0.0,21.7,97.8
tropical kiss,12,0.0,54.7,100.0,0.0,15.9,76.1
tub surround ideas,13,70.0,94.9,100.0,0.0,5.1,30.0
tubal reversal,20,39.7,93.9,100.0,0.0,6.1,60.3
tuckpointing,16,20.1,88.6,100.0,0.0,11.4,79.9
turquoise jewelry,12,0.0,55.5,99.9,0.0,19.5,81.0
types of arthritis,16,0.0,72.6,100.0,0.0,16.3,97.6
types of house plants,17,0.0,83.1,100.0,0.0,6.4,22.2
types of windows for home,18,67.9,89.9,99.9,0.1,10.1,32.1
ubrelvy 100 mg,17,0.0,62.5,95.7,0.0,31.9,97.7
under bed restraints,15,0.0,67.1,100.0,0.0,16.2,68.0
under counter ice maker,13,2.8,85.6,99.9,0.1,14.4,97.2
upright walker,13,0.0,68.5,99.9,0.0,12.8,76.1
uproot clean,8,0.0,54.6,99.0,0.0,7.0,24.3
uric acid reducer,15,0.0,68.7,99.9,0.0,14.6,88.2
urinary tract infection treatments,17,0.0,73.9,99.1,0.0,20.6,92.8
usb b cable,12,0.0,43.2,99.8,0.0,27.4,99.1
usb camera,16,0.0,61.1,99.4,0.0,23.1,95.1
ushanka,10,0.0,50.4,99.9,0.0,12.1,87.2
utilitech fan,5,0.0,35.9,100.0,0.0,5.7,44.2
vacuum seal storage bags,7,0.0,57.1,99.9,0.0,6.6,32.1
van cleef bracelet,10,0.0,39.6,99.9,0.0,27.1,73.7
vanesa amaro,11,0.0,72.7,100.0,0.0,18.9,67.1
vc andrews movies,12,0.0,64.5,99.9,0.0,10.5,54.0
vendor central,17,20.6,82.9,99.9,0.1,17.1,79.4
venofer,16,0.0,57.1,97.9,0.0,31.8,99.0
vestibular migraine symptoms,17,69.5,93.9,100.0,0.0,6.1,30.5
via surrogate meaning,18,2.2,87.5,100.0,0.0,12.5,97.8
viral vs bacterial,20,30.4,79.2,99.9,0.1,20.8,69.6
virtual pet,11,0.0,56.4,100.0,0.0,12.4,65.9
vitamin c daily dose,19,4.6,78.5,98.5,1.5,21.5,95.4
vomit,17,0.0,81.9,100.0,0.0,7.6,29.0
wakix,17,0.0,64.7,98.1,0.0,24.8,90.0
walking pneumonia,19,9.1,72.6,100.0,0.0,27.4,90.9
wall texture,9,0.0,58.5,100.0,0.0,16.5,96.9
wallpaper for bathroom,16,32.5,86.4,100.0,0.0,13.6,67.5
warm scandinavian living room,16,77.3,92.4,100.0,0.0,7.6,22.7
washer dryer stackable,10,0.0,64.3,100.0,0.0,7.2,34.6
watch avatar,14,0.0,64.4,98.8,0.0,29.0,51.5
water heater making noise,18,4.6,77.9,100.0,0.0,22.1,95.4
water heater not heating,18,53.0,89.9,100.0,0.0,10.1,47.0
water lillies,15,0.0,70.5,100.0,0.0,12.8,91.3
water line for fridge,12,0.0,58.6,96.7,0.0,33.7,77.0
water stain remover,20,48.4,93.9,100.0,0.0,6.1,51.6
waterproof fanny pack,14,0.0,65.0,99.6,0.0,12.8,60.1
waterproof outdoor carpet for decks,11,0.0,56.0,99.5,0.0,22.6,99.8
weber smokey mountains,11,0.0,56.3,99.9,0.0,22.2,94.4
what are weevils,18,0.0,80.4,100.0,0.0,14.3,64.9
what causes jock itch,20,27.8,83.3,99.9,0.1,16.7,72.2
what do pimple patches do,18,15.0,91.9,99.9,0.1,8.1,85.0
what does accutane do,18,0.0,78.8,99.9,0.0,15.9,51.1
what does cancer look like,18,0.0,73.3,100.0,0.0,21.4,84.2
what does root rot look like,17,0.0,86.7,100.0,0.0,7.7,61.2
what holidays are in september,15,0.0,81.2,100.0,0.0,2.1,11.5
what is a cold sore,19,22.5,84.6,99.9,0.1,15.4,77.5
what is a down comforter,16,0.0,88.1,100.0,0.0,6.0,47.7
what is a low heart rate,19,46.6,79.5,99.9,0.1,20.5,53.4
what is a muscle knot,19,64.6,94.4,100.0,0.0,5.6,35.4
what is a three way switch,16,0.0,77.7,99.9,0.0,16.4,89.4
what is carrageenan,17,47.7,85.5,99.9,0.1,14.5,52.3
what is cassava flour,18,0.0,80.7,100.0,0.0,9.3,50.2
what is cialis,16,0.0,71.6,98.8,0.0,22.6,69.9
what is cranberry juice good for,19,2.8,82.3,99.4,0.6,17.7,97.2
what is dmaa,19,61.0,90.1,100.0,0.0,9.9,39.0
what is fingering,15,0.0,67.1,100.0,0.0,11.9,62.0
what is lactaid,17,0.0,72.7,100.0,0.0,21.7,94.8
what is omad,19,56.8,93.3,99.8,0.2,6.7,43.2
what is red 40,18,18.1,81.3,100.0,0.0,18.7,81.9
what is strep throat,19,62.3,89.0,99.9,0.1,11.0,37.7
what is the best treatment for liver cirrhosis,17,48.4,85.1,99.7,0.3,14.9,51.6
what is zoloft used for,17,40.1,73.3,99.6,0.4,26.7,59.9
what to do for sciatica pain,18,49.1,87.5,100.0,0.0,12.5,50.9
what to do if you are constipated,20,43.5,84.1,100.0,0.0,15.9,56.5
what to put on a wasp sting,19,26.2,76.7,100.0,0.0,23.3,73.8
what to send when someone dies instead of flowers,18,66.9,93.0,99.9,0.1,7.0,33.1
what's the difference between alzheimer's and dementia,20,1.8,72.3,99.9,0.1,27.7,98.2
whats a uti,18,37.0,81.0,99.4,0.6,19.0,63.0
when to trim hydrangeas,17,0.0,93.2,100.0,0.0,1.3,10.2
where can i get phentermine to lose weight,19,3.5,80.5,99.7,0.3,19.5,96.5
where to hang curtain rods,16,0.0,93.3,100.0,0.0,0.9,7.3
which witch is which,9,0.0,50.2,100.0,0.0,6.1,58.0
white button down shirt,11,0.0,77.6,100.0,0.0,7.0,26.1
white spots on uvula,18,0.0,76.8,100.0,0.0,17.9,92.1
why are my tomato plants turning yellow,18,41.5,87.0,99.9,0.1,13.0,58.5
why are there so many flies outside my house,17,0.0,83.9,100.0,0.0,10.5,52.5
why do you get charley horses,20,59.8,91.8,100.0,0.0,8.2,40.2
why does my tailbone hurt,20,3.1,83.3,99.5,0.5,16.7,96.9
why is my throw up yellow,17,53.5,91.2,100.0,0.0,8.8,46.5
wild yam cream,18,0.0,81.9,100.0,0.0,12.9,87.2
winged ants,19,0.0,74.5,99.8,0.0,20.5,92.7
winvin,4,0.0,34.3,99.8,0.0,5.7,44.0
wisteria vines,17,0.0,86.7,100.0,0.0,7.8,50.3
witch hat,10,0.0,44.5,99.9,0.0,18.0,96.9
wolf spiders poisonous,18,2.6,75.9,100.0,0.0,24.1,97.4
women hey dude shoes,9,0.0,36.2,99.5,0.0,23.8,91.3
women's work pants,10,0.0,60.1,99.8,0.0,23.2,72.5
womens bmi calculator,20,8.9,64.4,99.9,0.1,35.6,91.1
womens cargo pants,12,0.0,64.3,100.0,0.0,21.4,71.1
wood nails,11,0.0,54.5,99.9,0.0,18.8,87.3
wood pallets for sale,17,3.6,74.7,99.5,0.5,25.3,96.4
wooden swing sets,11,0.0,69.2,100.0,0.0,9.4,38.8
workout sets for women,10,2.1,65.7,96.5,3.5,34.3,97.9
world health organization travel passport,17,0.0,76.0,99.9,0.0,13.5,67.3
xanatrol,12,0.0,62.2,100.0,0.0,12.8,63.0
xbox one power supply,9,0.0,43.2,98.6,0.0,31.8,97.8
xel 3a cardholder cases,4,0.0,17.9,67.1,0.0,39.3,98.2
xeriscaping backyard,17,44.0,95.5,100.0,0.0,4.5,56.0
xtratuf boots,11,0.0,51.5,100.0,0.0,13.2,93.6
yard landscaping,14,0.0,77.5,100.0,0.0,15.9,96.9
yarrow flower,15,0.0,89.3,100.0,0.0,4.5,40.4
yeast infection cure,19,41.9,84.4,100.0,0.0,15.6,58.1
yellow crookneck squash,16,0.0,89.0,100.0,0.0,5.1,24.6
yellow slip dress,8,0.0,36.5,99.0,0.0,20.7,72.4
yoni pearls,16,0.2,78.1,100.0,0.0,21.9,99.8
yor forger cosplay,13,0.0,47.6,99.9,0.0,28.8,83.7
zinus bed frame,11,0.0,66.8,99.8,0.0,11.8,60.9
zip up bedding,11,0.0,69.8,100.0,0.0,14.8,67.2
